user_id,tz,cohort_id,signup_date,valid_from,valid_to
u-000001,Europe/London,c-evening,2025-12-05,2025-12-05 00:00:00.000000,
u-000002,America/New_York,c-evening,2025-12-25,2025-12-25 00:00:00.000000,
u-000003,Europe/London,c-morning,2025-12-14,2025-12-14 00:00:00.000000,
u-000004,Europe/London,c-evening,2025-10-08,2025-10-08 00:00:00.000000,
u-000005,Europe/London,c-morning,2025-11-15,2025-11-15 00:00:00.000000,
u-000006,America/New_York,c-morning,2025-12-17,2025-12-17 00:00:00.000000,
u-000007,Europe/London,c-morning,2025-12-11,2025-12-11 00:00:00.000000,
u-000008,Asia/Tokyo,c-morning,2025-12-08,2025-12-08 00:00:00.000000,2026-01-11 00:00:00.000000
u-000008,Europe/London,c-morning,2025-12-08,2026-01-11 00:00:00.000000,
u-000009,Europe/London,c-evening,2025-10-11,2025-10-11 00:00:00.000000,
u-000010,Asia/Tokyo,c-evening,2025-10-22,2025-10-22 00:00:00.000000,2026-01-09 00:00:00.000000
u-000010,Europe/London,c-evening,2025-10-22,2026-01-09 00:00:00.000000,
u-000011,America/New_York,c-morning,2025-11-23,2025-11-23 00:00:00.000000,
u-000012,America/New_York,c-evening,2025-10-27,2025-10-27 00:00:00.000000,
u-000013,America/New_York,c-morning,2025-11-24,2025-11-24 00:00:00.000000,
u-000014,America/New_York,c-morning,2025-12-18,2025-12-18 00:00:00.000000,
u-000015,Asia/Tokyo,c-evening,2025-12-03,2025-12-03 00:00:00.000000,
u-000016,America/New_York,c-morning,2025-10-13,2025-10-13 00:00:00.000000,
u-000017,Asia/Tokyo,c-morning,2025-11-30,2025-11-30 00:00:00.000000,
u-000018,Asia/Tokyo,c-evening,2025-11-06,2025-11-06 00:00:00.000000,
u-000019,America/New_York,c-evening,2025-11-09,2025-11-09 00:00:00.000000,
u-000020,America/New_York,c-morning,2025-12-29,2025-12-29 00:00:00.000000,
