prompt_id,user_id,cohort_id,label
p-000001,u-000001,c-evening,upload_fault
p-000002,u-000002,c-evening,on_time
p-000003,u-000003,c-morning,timing_gap
p-000004,u-000004,c-evening,on_time
p-000005,u-000005,c-morning,delivery_fault
p-000006,u-000006,c-morning,upload_fault
p-000007,u-000007,c-morning,on_time
p-000008,u-000008,c-morning,on_time
p-000009,u-000009,c-evening,on_time
p-000010,u-000010,c-evening,on_time
p-000011,u-000011,c-morning,on_time
p-000012,u-000012,c-evening,on_time
p-000013,u-000013,c-morning,delivery_fault
p-000014,u-000014,c-morning,on_time
p-000015,u-000015,c-evening,on_time
p-000016,u-000016,c-morning,on_time
p-000017,u-000017,c-morning,timing_gap
p-000018,u-000018,c-evening,upload_fault
p-000019,u-000019,c-evening,timing_gap
p-000020,u-000020,c-morning,on_time
p-000021,u-000001,c-evening,timing_gap
p-000022,u-000002,c-evening,on_time
p-000023,u-000003,c-morning,timing_gap
p-000024,u-000004,c-evening,on_time
p-000025,u-000005,c-morning,on_time
p-000026,u-000006,c-morning,timing_gap
p-000027,u-000007,c-morning,timing_gap
p-000028,u-000008,c-morning,on_time
p-000029,u-000009,c-evening,on_time
p-000030,u-000010,c-evening,timing_gap
p-000031,u-000011,c-morning,timing_gap
p-000032,u-000012,c-evening,on_time
p-000033,u-000013,c-morning,on_time
p-000034,u-000014,c-morning,on_time
p-000035,u-000015,c-evening,on_time
p-000036,u-000016,c-morning,on_time
p-000037,u-000017,c-morning,on_time
p-000038,u-000018,c-evening,on_time
p-000039,u-000019,c-evening,timing_gap
p-000040,u-000020,c-morning,on_time
p-000041,u-000001,c-evening,on_time
p-000042,u-000002,c-evening,on_time
p-000043,u-000003,c-morning,timing_gap
p-000044,u-000004,c-evening,on_time
p-000045,u-000005,c-morning,delivery_fault
p-000046,u-000006,c-morning,on_time
p-000047,u-000007,c-morning,delivery_fault
p-000048,u-000008,c-morning,unattributed
p-000049,u-000009,c-evening,delivery_fault
p-000050,u-000010,c-evening,timing_gap
p-000051,u-000011,c-morning,on_time
p-000052,u-000012,c-evening,delivery_fault
p-000053,u-000013,c-morning,on_time
p-000054,u-000014,c-morning,on_time
p-000055,u-000015,c-evening,on_time
p-000056,u-000016,c-morning,on_time
p-000057,u-000017,c-morning,timing_gap
p-000058,u-000018,c-evening,on_time
p-000059,u-000019,c-evening,delivery_fault
p-000060,u-000020,c-morning,upload_fault
p-000061,u-000001,c-evening,timing_gap
p-000062,u-000002,c-evening,on_time
p-000063,u-000003,c-morning,timing_gap
p-000064,u-000004,c-evening,on_time
p-000065,u-000005,c-morning,on_time
p-000066,u-000006,c-morning,delivery_fault
p-000067,u-000007,c-morning,delivery_fault
p-000068,u-000008,c-morning,on_time
p-000069,u-000009,c-evening,upload_fault
p-000070,u-000010,c-evening,delivery_fault
p-000071,u-000011,c-morning,unattributed
p-000072,u-000012,c-evening,timing_gap
p-000073,u-000013,c-morning,on_time
p-000074,u-000014,c-morning,on_time
p-000075,u-000015,c-evening,timing_gap
p-000076,u-000016,c-morning,on_time
p-000077,u-000017,c-morning,timing_gap
p-000078,u-000018,c-evening,on_time
p-000079,u-000019,c-evening,timing_gap
p-000080,u-000020,c-morning,on_time
p-000081,u-000001,c-evening,on_time
p-000082,u-000002,c-evening,on_time
p-000083,u-000003,c-morning,timing_gap
p-000084,u-000004,c-evening,on_time
p-000085,u-000005,c-morning,upload_fault
p-000086,u-000006,c-morning,on_time
p-000087,u-000007,c-morning,on_time
p-000088,u-000008,c-morning,timing_gap
p-000089,u-000009,c-evening,delivery_fault
p-000090,u-000010,c-evening,timing_gap
p-000091,u-000011,c-morning,on_time
p-000092,u-000012,c-evening,on_time
p-000093,u-000013,c-morning,upload_fault
p-000094,u-000014,c-morning,delivery_fault
p-000095,u-000015,c-evening,timing_gap
p-000096,u-000016,c-morning,on_time
p-000097,u-000017,c-morning,timing_gap
