cohort_id,prompt_date,prompts_sent,prompts_delivered,on_time,upload_fault,timing_gap,unattributed,delivery_fault,ontime_rate
c-evening,2026-01-05,9,9,6,2,1,0,0,0.666667
c-evening,2026-01-06,9,9,6,0,3,0,0,0.666667
c-evening,2026-01-07,9,6,5,0,1,0,3,0.833333
c-evening,2026-01-08,9,8,3,1,4,0,1,0.375
c-evening,2026-01-09,9,8,5,0,3,0,1,0.625
c-evening,2026-01-10,9,9,5,1,3,0,0,0.555556
c-evening,2026-01-11,9,7,5,0,1,1,2,0.714286
c-morning,2026-01-05,11,9,6,1,2,0,2,0.666667
c-morning,2026-01-06,11,11,7,0,4,0,0,0.636364
c-morning,2026-01-07,11,9,5,1,2,1,2,0.555556
c-morning,2026-01-08,11,9,6,0,2,1,2,0.666667
c-morning,2026-01-09,11,10,5,2,3,0,1,0.5
c-morning,2026-01-10,11,10,6,0,2,2,1,0.6
c-morning,2026-01-11,11,9,5,0,3,1,2,0.555556
