user_id,cohort_id,send_hour_local,send_minute_local,cohort_hour_local,center_hour_local,confidence,model_version,computed_as_of
u-000001,c-evening,18,0,16,19.140323,0.617387,v1,2026-01-12 00:47:00
u-000002,c-evening,18,0,16,20.750676,0.655455,v1,2026-01-12 00:47:00
u-000003,c-morning,1,8,3,1.140969,0.368368,v1,2026-01-12 00:47:00
u-000004,c-evening,17,29,16,17.481568,0.699526,v1,2026-01-12 00:47:00
u-000005,c-morning,5,0,3,6.297522,0.709117,v1,2026-01-12 00:47:00
u-000006,c-morning,5,0,3,9.280651,0.742501,v1,2026-01-12 00:47:00
u-000007,c-morning,5,0,3,7.43121,0.619439,v1,2026-01-12 00:47:00
u-000008,c-morning,5,0,3,8.757495,0.613945,v1,2026-01-12 00:47:00
u-000009,c-evening,18,0,16,20.135238,0.640877,v1,2026-01-12 00:47:00
u-000010,c-evening,18,0,16,21.871148,0.651507,v1,2026-01-12 00:47:00
u-000011,c-morning,4,58,3,4.96306,0.731727,v1,2026-01-12 00:47:00
u-000012,c-evening,18,0,16,20.276127,0.707177,v1,2026-01-12 00:47:00
u-000013,c-morning,5,0,3,7.758114,0.583141,v1,2026-01-12 00:47:00
u-000014,c-morning,5,0,3,10.440172,0.613895,v1,2026-01-12 00:47:00
u-000015,c-evening,16,38,16,16.638601,0.71845,v1,2026-01-12 00:47:00
u-000016,c-morning,5,0,3,8.010289,0.714381,v1,2026-01-12 00:47:00
u-000017,c-morning,5,0,3,13.445616,0.433738,v1,2026-01-12 00:47:00
u-000018,c-evening,18,0,16,20.94685,0.720998,v1,2026-01-12 00:47:00
u-000019,c-evening,17,12,16,17.207094,0.703367,v1,2026-01-12 00:47:00
u-000020,c-morning,5,0,3,6.087566,0.772598,v1,2026-01-12 00:47:00
